iter,generated,reached_n,executed_n,backend_valid_n,backend_valid_pct,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,45,45,35,35,77.8,16,45.7,19,54.3,31.6,1485,658
1,50,50,38,38,76.0,14,36.8,24,63.2,50.0,2019,880
2,50,50,36,36,72.0,17,47.2,19,52.8,52.6,2529,977
3,50,50,37,37,74.0,8,21.6,29,78.4,41.4,2463,1050
4,50,50,43,43,86.0,16,37.2,27,62.8,37.0,3267,1196
5,50,50,40,40,80.0,12,30.0,28,70.0,21.4,3255,1172
6,50,50,44,44,88.0,7,15.9,37,84.1,13.5,3246,1149
7,50,50,48,48,96.0,2,4.2,46,95.8,8.7,3987,1199
8,50,50,45,45,90.0,4,8.9,41,91.1,4.9,4818,1222
9,50,50,46,46,92.0,2,4.3,44,95.7,9.1,4395,1226
