iter,generated,reached_n,executed_n,backend_valid_n,backend_valid_pct,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,48,48,11,11,22.9,6,54.5,5,45.5,100.0,1440,739
1,49,49,17,17,34.7,7,41.2,10,58.8,60.0,1473,930
2,50,50,42,42,84.0,12,28.6,30,71.4,63.3,1590,612
3,49,49,44,44,89.8,4,9.1,40,90.9,27.5,2490,683
4,48,48,41,41,85.4,4,9.8,37,90.2,24.3,3099,727
5,50,50,46,46,92.0,7,15.2,39,84.8,38.5,3036,851
6,49,49,48,48,98.0,3,6.2,45,93.8,17.8,3411,812
7,50,50,40,40,80.0,3,7.5,37,92.5,21.6,3810,937
8,50,50,42,42,84.0,2,4.8,40,95.2,15.0,3495,944
9,50,50,49,49,98.0,6,12.2,43,87.8,9.3,3795,939
