iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,100.0,0,50,100.0,0,6,12.0,44,88.0,1,43,86.0,43,0,0.0,43,100.0,0.0,2448,1965
1,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,1,2.1,47,97.9,6.4,7752,1946
2,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,1,49,98.0,49,0,0.0,49,100.0,4.1,8181,1899
3,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,2,47,94.0,47,0,0.0,47,100.0,0.0,8340,1893
4,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,3,45,90.0,45,0,0.0,45,100.0,0.0,8049,1932
5,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,0.0,7947,1949
6,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,5,44,88.0,44,0,0.0,44,100.0,0.0,8583,1955
7,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,2,47,94.0,47,0,0.0,47,100.0,0.0,7806,1937
8,50,50,100.0,0,50,100.0,0,4,8.0,46,92.0,2,44,88.0,44,0,0.0,44,100.0,0.0,8109,1922
9,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,2,46,92.0,46,0,0.0,46,100.0,0.0,7764,1922
