iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,100.0,0,50,100.0,0,4,8.0,46,92.0,1,45,90.0,45,2,4.4,43,95.6,25.6,2403,1937
1,50,50,100.0,0,50,100.0,0,5,10.0,45,90.0,1,44,88.0,44,0,0.0,44,100.0,68.2,7497,2126
2,51,51,100.0,0,51,100.0,0,2,3.9,49,96.1,3,46,90.2,46,0,0.0,46,100.0,67.4,8247,2542
3,50,50,100.0,0,50,100.0,0,3,6.0,47,94.0,2,45,90.0,45,0,0.0,45,100.0,48.9,9501,2525
4,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,0,0.0,49,100.0,18.4,9501,2527
5,50,50,100.0,0,50,100.0,0,3,6.0,47,94.0,0,47,94.0,47,0,0.0,47,100.0,23.4,10128,2601
6,51,51,100.0,0,51,100.0,0,2,3.9,49,96.1,0,49,96.1,49,0,0.0,49,100.0,12.2,9960,2678
7,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,1,49,98.0,49,0,0.0,49,100.0,14.3,10395,2672
8,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,1,49,98.0,49,0,0.0,49,100.0,8.2,10572,2706
9,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,2,48,96.0,48,0,0.0,48,100.0,8.3,10656,2702
