iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,47,47,100.0,0,47,100.0,0,14,29.8,33,70.2,0,33,70.2,33,3,9.1,30,90.9,26.7,2367,383
1,50,50,100.0,0,50,100.0,0,17,34.0,33,66.0,0,33,66.0,33,1,3.0,32,97.0,84.4,3450,556
2,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,1,2.0,48,98.0,89.6,3849,680
3,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,0,0.0,49,100.0,85.7,4821,760
4,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,92.0,5091,825
5,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,74.0,5352,786
6,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,0,0.0,49,100.0,71.4,5229,779
7,50,50,100.0,0,50,100.0,0,7,14.0,43,86.0,0,43,86.0,43,0,0.0,43,100.0,72.1,5157,818
8,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,42.0,4908,762
9,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,22.0,5163,772
