iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,2,46,92.0,46,1,2.2,45,97.8,8.9,2403,1942
1,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,12.0,7731,2025
2,51,51,100.0,0,51,100.0,0,1,2.0,50,98.0,5,45,88.2,45,1,2.2,44,97.8,6.8,8769,2414
3,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,0,0.0,49,100.0,0.0,8865,2309
4,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,3,46,92.0,46,0,0.0,46,100.0,2.2,9471,2300
5,50,50,100.0,0,50,100.0,0,7,14.0,43,86.0,0,43,86.0,43,0,0.0,43,100.0,20.9,9030,2360
6,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,1,48,96.0,48,0,0.0,48,100.0,27.1,8613,2328
7,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,1,48,96.0,48,0,0.0,48,100.0,31.2,9378,2325
8,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,0,0.0,48,100.0,25.0,9366,2296
9,49,49,100.0,0,49,100.0,0,4,8.2,45,91.8,0,45,91.8,45,0,0.0,45,100.0,24.4,9318,2375
