iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,4,45,90.0,45,1,2.2,44,97.8,0.0,2448,2030
1,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,4,45,90.0,45,0,0.0,45,100.0,2.2,8046,2019
2,50,50,100.0,0,50,100.0,0,3,6.0,47,94.0,0,47,94.0,47,0,0.0,47,100.0,8.5,8103,1973
3,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,0,0.0,48,100.0,0.0,8226,1940
4,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,1,2.0,49,98.0,4.1,8250,1904
5,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,1,47,94.0,47,0,0.0,47,100.0,4.3,8331,1910
6,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,1,48,96.0,48,1,2.1,47,97.9,0.0,8076,1924
7,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,0.0,8130,1924
8,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,4,45,90.0,45,1,2.2,44,97.8,9.1,8511,1951
9,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,4,46,92.0,46,0,0.0,46,100.0,4.3,7833,1957
