iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,49,49,100.0,0,49,100.0,0,16,32.7,33,67.3,0,33,67.3,33,0,0.0,33,100.0,0.0,2487,2060
1,50,50,100.0,0,50,100.0,0,3,6.0,47,94.0,0,47,94.0,47,0,0.0,47,100.0,6.4,6741,1996
2,50,50,100.0,0,50,100.0,0,4,8.0,46,92.0,0,46,92.0,46,2,4.3,44,95.7,6.8,8382,1972
3,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,0,0.0,49,100.0,2.0,8118,2003
4,49,49,100.0,0,49,100.0,0,1,2.0,48,98.0,0,48,98.0,48,4,8.3,44,91.7,0.0,8763,1961
5,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,1,2.1,47,97.9,0.0,7998,1949
6,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,0,0.0,49,100.0,0.0,8364,2018
7,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,2.0,8820,2036
8,50,50,100.0,0,50,100.0,0,5,10.0,45,90.0,0,45,90.0,45,0,0.0,45,100.0,0.0,9033,2081
9,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,0.0,8544,2108
