iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,100.0,0,50,100.0,0,12,24.0,38,76.0,1,37,74.0,37,7,18.9,30,81.1,20.0,2367,353
1,50,50,100.0,0,50,100.0,0,11,22.0,39,78.0,1,38,76.0,38,2,5.3,36,94.7,30.6,3378,489
2,50,50,100.0,0,50,100.0,0,19,38.0,31,62.0,0,31,62.0,31,2,6.5,29,93.5,44.8,3873,636
3,50,50,100.0,0,50,100.0,0,15,30.0,35,70.0,0,35,70.0,35,1,2.9,34,97.1,29.4,3888,691
4,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,50.0,4107,785
5,50,50,100.0,0,50,100.0,0,6,12.0,44,88.0,0,44,88.0,44,0,0.0,44,100.0,59.1,5232,825
6,50,50,100.0,0,50,100.0,0,3,6.0,47,94.0,0,47,94.0,47,0,0.0,47,100.0,46.8,5007,831
7,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,1,2.1,47,97.9,42.6,5172,877
8,50,50,100.0,0,50,100.0,0,22,44.0,28,56.0,0,28,56.0,28,1,3.6,27,96.4,63.0,5340,899
9,50,50,100.0,0,50,100.0,0,4,8.0,46,92.0,0,46,92.0,46,0,0.0,46,100.0,13.0,4257,910
