iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,49,49,100.0,0,49,100.0,0,0,0.0,49,100.0,0,49,100.0,49,0,0.0,49,100.0,0.0,2403,1693
1,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,2,46,92.0,46,0,0.0,46,100.0,4.3,7518,1883
2,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,2,48,96.0,48,0,0.0,48,100.0,0.0,7848,1838
3,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,1,49,98.0,49,0,0.0,49,100.0,0.0,7974,1858
4,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,3,46,92.0,46,0,0.0,46,100.0,0.0,8148,1855
5,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,3,47,94.0,47,0,0.0,47,100.0,0.0,7752,1829
6,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,3,47,94.0,47,0,0.0,47,100.0,0.0,7812,1842
7,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,2,48,96.0,48,0,0.0,48,100.0,0.0,7869,1852
8,50,50,100.0,0,50,100.0,0,4,8.0,46,92.0,1,45,90.0,45,0,0.0,45,100.0,0.0,8004,1895
9,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,0,0.0,48,100.0,0.0,7788,1944
