iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,100.0,0,50,100.0,0,3,6.0,47,94.0,0,47,94.0,47,2,4.3,45,95.7,17.8,2487,1962
1,49,49,100.0,0,49,100.0,0,1,2.0,48,98.0,0,48,98.0,48,0,0.0,48,100.0,39.6,7947,1933
2,51,51,100.0,0,51,100.0,0,3,5.9,48,94.1,0,48,94.1,48,0,0.0,48,100.0,31.2,8376,2107
3,51,51,100.0,0,51,100.0,0,2,3.9,49,96.1,0,49,96.1,49,0,0.0,49,100.0,49.0,8895,2451
4,51,51,100.0,0,51,100.0,0,2,3.9,49,96.1,0,49,96.1,49,1,2.0,48,98.0,35.4,9942,2473
5,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,0,0.0,48,100.0,18.8,9882,2427
6,51,51,100.0,0,51,100.0,0,1,2.0,50,98.0,0,50,98.0,50,0,0.0,50,100.0,14.0,9891,2515
7,51,51,100.0,0,51,100.0,0,1,2.0,50,98.0,0,50,98.0,50,0,0.0,50,100.0,12.0,10287,2520
8,51,51,100.0,0,51,100.0,0,2,3.9,49,96.1,0,49,96.1,49,0,0.0,49,100.0,12.2,10278,2504
9,50,50,100.0,0,50,100.0,0,3,6.0,47,94.0,0,47,94.0,47,0,0.0,47,100.0,10.6,10137,2487
