config,workload,concurrency,repeat,n,p50_ms,p95_ms,p99_ms,avg_ms,req_per_sec,ok,err,cpu_pct,url
crs_only,plain,10,3,10000,3.9,5.8999999999999995,6.8999999999999995,4.8999999999999995,1839.8284,10000,0,128.9,http://localhost/customapp/product?id=1
crs_only,plain,10,4,10000,3.6,5.8,6.8999999999999995,5.1000000000000005,1617.6751,10000,0,114.4,http://localhost/customapp/product?id=1
crs_only,plain,10,5,10000,3.8,6.0,7.1000000000000005,5.2,1710.1517,10000,0,119.5,http://localhost/customapp/product?id=1
crs_only,plain,50,1,10000,4.0,6.3,1014.2,20.6,1753.8301,10000,0,122.8,http://localhost/customapp/product?id=1
crs_only,plain,50,2,10000,4.0,6.0,225.39999999999998,17.9,1815.8614,10000,0,125.6,http://localhost/customapp/product?id=1
crs_only,plain,50,3,10000,4.2,5.8,7.3,16.5,1708.1674,10000,0,117.2,http://localhost/customapp/product?id=1
crs_only,plain,50,4,10000,4.2,6.0,163.1,18.0,1739.1927,10000,0,119.9,http://localhost/customapp/product?id=1
crs_only,plain,50,5,10000,4.3,6.0,401.0,18.1,1828.7298,10000,0,125.3,http://localhost/customapp/product?id=1
crs_only,token,1,1,10000,1.0,1.2,1.4,1.0,948.8846,10000,0,69.7,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,1,2,10000,1.0,1.2,1.5,1.0,959.727,10000,0,70.7,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,1,3,10000,1.0,1.2,1.9,1.1,934.5564,10000,0,69.9,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,1,4,10000,1.0,1.2,2.1,1.1,934.8512,10000,0,68.9,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,1,5,10000,1.0,1.2,1.3,1.0,960.2743,10000,0,70.1,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,10,1,10000,4.1000000000000005,5.7,6.6,5.0,1764.099,10000,0,128.2,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,10,2,10000,4.3,5.8,6.7,4.8,1772.119,10000,0,128.9,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,10,3,10000,4.4,5.8999999999999995,6.7,4.8999999999999995,1821.3692,10000,0,131.4,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,10,4,10000,4.1000000000000005,5.8999999999999995,6.8,4.8999999999999995,1836.6156,10000,0,132.7,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,10,5,10000,4.1000000000000005,5.7,6.5,4.8999999999999995,1864.7198,10000,0,134.7,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,50,1,10000,4.2,5.8999999999999995,1010.8999999999999,20.2,1568.0368,10000,0,114.7,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,50,2,10000,4.3,6.0,8.0,18.0,1671.5989,10000,0,121.6,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,50,3,10000,4.6,6.3,497.8,19.2,1639.6924,10000,0,119.4,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,50,4,10000,4.3,6.1000000000000005,209.4,17.3,1740.0919,10000,0,126.9,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,token,50,5,10000,4.4,6.2,500.70000000000005,18.4,1678.1774,10000,0,122.8,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,plain,1,1,10000,1.0,1.1,1.2,1.0,1014.2392,10000,0,68.5,http://localhost/customapp/product?id=1
cg_adaptive_sqli,plain,1,2,10000,1.0,1.1,1.3,1.0,1010.853,10000,0,67.8,http://localhost/customapp/product?id=1
cg_adaptive_sqli,plain,1,3,10000,1.0,1.1,1.4,1.0,1010.745,10000,0,68.7,http://localhost/customapp/product?id=1
cg_adaptive_sqli,plain,1,4,10000,0.9,1.1,1.4,1.0,1015.6553,10000,0,68.3,http://localhost/customapp/product?id=1
cg_adaptive_sqli,plain,1,5,10000,1.0,1.1,1.4,1.0,1003.1737,10000,0,68.0,http://localhost/customapp/product?id=1
cg_adaptive_sqli,plain,10,1,10000,3.9,5.5,6.3,4.8,1866.3282,10000,0,125.5,http://localhost/customapp/product?id=1
cg_adaptive_sqli,plain,10,2,10000,3.9,5.5,6.2,4.6,1875.0444,10000,0,125.4,http://localhost/customapp/product?id=1
