family,target,page,backend,attack_source_model,shift_type,eps,technique,n_attack_seeds,mean_of_means,sd,median,min,max,pooled_block_rate,blocked_sum,total_sum
SQLi,customapp,login,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.2,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,20990,20990
SQLi,customapp,login,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.2,CG-Static,5,100.0,0.0,100.0,100.0,100.0,100.0,20990,20990
SQLi,customapp,login,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.3,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,20990,20990
SQLi,customapp,login,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.3,CG-Static,5,99.81,0.09,99.8,99.68,99.9,99.8,20948,20990
SQLi,customapp,login,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.4,CG-Adaptive,5,82.87,1.4,83.56,81.37,84.44,82.8,17380,20990
SQLi,customapp,login,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.4,CG-Static,5,99.61,0.18,99.6,99.37,99.81,99.6,20906,20990
SQLi,customapp,login,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.5,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,20990,20990
SQLi,customapp,login,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.5,CG-Static,5,99.81,0.09,99.8,99.68,99.9,99.8,20948,20990
SQLi,customapp,product,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.1,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,21090,21090
SQLi,customapp,product,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.1,CG-Static,5,100.0,0.0,100.0,100.0,100.0,100.0,21090,21090
SQLi,customapp,product,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.2,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,21090,21090
SQLi,customapp,product,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.2,CG-Static,5,100.0,0.0,100.0,100.0,100.0,100.0,21090,21090
