iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,100.0,0,50,100.0,0,3,6.0,47,94.0,2,45,90.0,45,0,0.0,45,100.0,8.9,2448,2018
1,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,1,48,96.0,48,0,0.0,48,100.0,14.6,8082,2022
2,50,50,100.0,0,50,100.0,0,3,6.0,47,94.0,0,47,94.0,47,0,0.0,47,100.0,38.3,8541,2092
3,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,2,46,92.0,46,0,0.0,46,100.0,43.5,8625,2121
4,50,50,100.0,0,50,100.0,0,4,8.0,46,92.0,1,45,90.0,45,1,2.2,44,97.8,52.3,8595,2125
5,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,4,45,90.0,45,0,0.0,45,100.0,35.6,8304,2114
6,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,2,4.1,47,95.9,44.7,8433,2141
7,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,0,0.0,49,100.0,55.1,8736,2150
8,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,3,46,92.0,46,0,0.0,46,100.0,50.0,9063,2167
9,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,1,47,94.0,47,1,2.1,46,97.9,80.4,8736,2226
