iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,49,49,100.0,0,49,100.0,0,3,6.1,46,93.9,0,46,93.9,46,0,0.0,46,100.0,15.2,2487,1927
1,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,1,2.1,47,97.9,31.9,8061,2051
2,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,36.0,8643,2134
3,51,51,100.0,0,51,100.0,0,3,5.9,48,94.1,0,48,94.1,48,0,0.0,48,100.0,16.7,9327,2422
4,51,51,100.0,0,51,100.0,0,2,3.9,49,96.1,0,49,96.1,49,0,0.0,49,100.0,24.5,9771,2455
5,51,51,100.0,0,51,100.0,0,0,0.0,51,100.0,0,51,100.0,51,1,2.0,50,98.0,14.0,9936,2446
6,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,2.0,10119,2352
7,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,2.0,9981,2401
8,51,51,100.0,0,51,100.0,0,2,3.9,49,96.1,0,49,96.1,49,0,0.0,49,100.0,0.0,10128,2455
9,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,0.0,9936,2391
