iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,2,47,94.0,47,1,2.1,46,97.9,15.2,2403,1898
1,49,49,100.0,0,49,100.0,0,1,2.0,48,98.0,4,44,89.8,44,0,0.0,44,100.0,22.7,7728,1864
2,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,3,47,94.0,47,0,0.0,47,100.0,21.3,7545,1876
3,51,51,100.0,0,51,100.0,0,1,2.0,50,98.0,5,45,88.2,45,0,0.0,45,100.0,11.1,7914,1925
4,50,50,100.0,0,50,100.0,0,6,12.0,44,88.0,0,44,88.0,44,0,0.0,44,100.0,27.3,7836,2030
5,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,0,0.0,49,100.0,10.2,8004,1978
6,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,0,0.0,48,100.0,6.2,8451,1971
7,54,54,100.0,0,54,100.0,0,9,16.7,45,83.3,2,43,79.6,43,0,0.0,43,100.0,11.6,8352,3403
8,50,50,100.0,0,50,100.0,0,3,6.0,47,94.0,3,44,88.0,44,0,0.0,44,100.0,25.0,7827,2076
9,50,50,100.0,0,50,100.0,0,5,10.0,45,90.0,1,44,88.0,44,0,0.0,44,100.0,22.7,8124,2085
