iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,49,49,100.0,0,49,100.0,0,8,16.3,41,83.7,1,40,81.6,40,8,20.0,32,80.0,12.5,2367,371
1,50,50,100.0,0,50,100.0,0,11,22.0,39,78.0,0,39,78.0,39,1,2.6,38,97.4,36.8,3501,544
2,50,50,100.0,0,50,100.0,0,8,16.0,42,84.0,0,42,84.0,42,1,2.4,41,97.6,36.6,4062,641
3,50,50,100.0,0,50,100.0,0,16,32.0,34,68.0,0,34,68.0,34,0,0.0,34,100.0,67.6,4371,671
4,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,0,0.0,49,100.0,95.9,4140,706
5,50,50,100.0,0,50,100.0,0,13,26.0,37,74.0,0,37,74.0,37,1,2.7,36,97.3,94.4,4941,772
6,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,88.0,4485,819
7,50,50,100.0,0,50,100.0,0,3,6.0,47,94.0,0,47,94.0,47,0,0.0,47,100.0,95.7,5322,904
8,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,2,4.0,48,96.0,91.7,5409,937
9,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,0,0.0,49,100.0,95.9,5565,987
