iter,generated,reached_n,executed_n,backend_valid_n,backend_valid_pct,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,52,52,13,13,25.0,9,69.2,4,30.8,100.0,1440,778
1,50,50,30,30,60.0,12,40.0,18,60.0,22.2,1404,637
2,49,49,38,38,77.6,12,31.6,26,68.4,19.2,1920,684
3,49,49,42,42,85.7,6,14.3,36,85.7,11.1,2298,587
4,49,49,34,34,69.4,6,17.6,28,82.4,7.1,2685,694
5,50,50,41,41,82.0,3,7.3,38,92.7,5.3,2445,726
6,50,50,31,31,62.0,6,19.4,25,80.6,20.0,3003,698
7,50,50,38,38,76.0,9,23.7,29,76.3,24.1,2400,820
8,51,51,30,30,58.8,7,23.3,23,76.7,17.4,2754,1373
9,50,50,47,47,94.0,5,10.6,42,89.4,4.8,2574,881
