iter,generated,reached_n,executed_n,backend_valid_n,backend_valid_pct,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,49,49,35,35,71.4,18,51.4,17,48.6,52.9,1485,891
1,50,50,26,26,52.0,17,65.4,9,34.6,77.8,1980,933
2,51,51,33,33,64.7,15,45.5,18,54.5,38.9,1710,859
3,49,49,25,25,51.0,0,0.0,25,100.0,12.0,2208,956
4,50,50,40,40,80.0,14,35.0,26,65.0,19.2,2625,897
5,50,50,45,45,90.0,4,8.9,41,91.1,4.9,2781,971
6,50,50,48,48,96.0,4,8.3,44,91.7,6.8,3825,956
7,50,50,48,48,96.0,1,2.1,47,97.9,8.5,4044,996
8,50,50,48,48,96.0,0,0.0,48,100.0,4.2,4260,973
9,50,50,50,50,100.0,0,0.0,50,100.0,2.0,4302,990
