iter,generated,reached_n,executed_n,backend_valid_n,backend_valid_pct,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,47,47,20,20,42.6,17,85.0,3,15.0,100.0,1440,722
1,48,48,13,13,27.1,6,46.2,7,53.8,42.9,1362,878
2,50,50,26,26,52.0,17,65.4,9,34.6,33.3,1596,985
3,50,50,36,36,72.0,14,38.9,22,61.1,9.1,1710,847
4,51,51,38,38,74.5,7,18.4,31,81.6,9.7,2400,936
5,50,50,44,44,88.0,14,31.8,30,68.2,13.3,2928,879
6,50,50,48,48,96.0,0,0.0,48,100.0,6.2,3012,956
7,50,50,35,35,70.0,1,2.9,34,97.1,5.9,4269,1128
8,50,50,41,41,82.0,8,19.5,33,80.5,0.0,3837,1209
9,50,50,33,33,66.0,1,3.0,32,97.0,9.4,3849,1219
