iter,generated,reached_n,executed_n,backend_valid_n,backend_valid_pct,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,21,21,42.0,15,71.4,6,28.6,100.0,1440,794
1,49,49,22,22,44.9,11,50.0,11,50.0,54.5,1467,707
2,50,50,32,32,64.0,11,34.4,21,65.6,81.0,1689,768
3,50,50,36,36,72.0,8,22.2,28,77.8,39.3,2373,852
4,50,50,38,38,76.0,10,26.3,28,73.7,21.4,2865,935
5,53,53,33,33,62.3,5,15.2,28,84.8,39.3,2865,1037
6,50,50,35,35,70.0,1,2.9,34,97.1,8.8,2943,908
7,50,50,36,36,72.0,0,0.0,36,100.0,16.7,3180,907
8,50,50,46,46,92.0,3,6.5,43,93.5,9.3,3351,873
9,50,50,27,27,54.0,0,0.0,27,100.0,33.3,3675,1040
