iter,generated,reached_n,executed_n,backend_valid_n,backend_valid_pct,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,39,39,78.0,24,61.5,15,38.5,46.7,1485,718
1,49,49,36,36,73.5,14,38.9,22,61.1,59.1,1860,881
2,50,50,41,41,82.0,17,41.5,24,58.5,45.8,2535,822
3,49,49,46,46,93.9,14,30.4,32,69.6,43.8,2475,845
4,49,49,43,43,87.8,4,9.3,39,90.7,25.6,3027,831
5,48,48,44,44,91.7,14,31.8,30,68.2,36.7,3444,946
6,50,50,41,41,82.0,7,17.1,34,82.9,41.2,3054,968
7,50,50,38,38,76.0,2,5.3,36,94.7,44.4,3351,994
8,50,50,38,38,76.0,12,31.6,26,68.4,23.1,3615,1054
9,50,50,42,42,84.0,11,26.2,31,73.8,51.6,3048,1151
