iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,51,51,100.0,0,51,100.0,0,5,9.8,46,90.2,3,43,84.3,43,2,4.7,41,95.3,17.1,2448,1997
1,50,50,100.0,0,50,100.0,0,4,8.0,46,92.0,0,46,92.0,46,0,0.0,46,100.0,13.0,7491,1954
2,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,0,0.0,48,100.0,6.2,8115,1899
3,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,0,0.0,48,100.0,2.1,8193,1908
4,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,2,47,94.0,47,0,0.0,47,100.0,0.0,8175,1889
5,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,1,49,98.0,49,0,0.0,49,100.0,0.0,8037,1920
6,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,2,48,96.0,48,0,0.0,48,100.0,0.0,8382,1903
7,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,1,2.0,49,98.0,0.0,8163,1922
8,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,1,49,98.0,49,0,0.0,49,100.0,0.0,8307,1947
9,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,3,47,94.0,47,1,2.1,46,97.9,0.0,8454,1918
