iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,48,48,100.0,0,48,100.0,0,3,6.2,45,93.8,0,45,93.8,45,1,2.2,44,97.8,11.4,2487,1938
1,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,1,2.0,49,98.0,4.1,7866,1903
2,51,51,100.0,0,51,100.0,0,3,5.9,48,94.1,0,48,94.1,48,2,4.2,46,95.8,19.6,8430,2078
3,50,50,100.0,0,50,100.0,0,5,10.0,45,90.0,0,45,90.0,45,0,0.0,45,100.0,35.6,8433,2180
4,50,50,100.0,0,50,100.0,0,8,16.0,42,84.0,0,42,84.0,42,0,0.0,42,100.0,40.5,8685,2090
5,50,50,100.0,0,50,100.0,0,3,6.0,47,94.0,0,47,94.0,47,0,0.0,47,100.0,38.3,8103,2119
6,66,66,100.0,0,66,100.0,0,15,22.7,51,77.3,7,44,66.7,44,1,2.3,43,97.7,25.6,8853,2886
7,50,50,100.0,0,50,100.0,0,6,12.0,44,88.0,0,44,88.0,44,1,2.3,43,97.7,27.9,8454,2214
8,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,1,2.0,48,98.0,22.9,8583,2247
9,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,0,0.0,49,100.0,18.4,9357,2222
