iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,100.0,0,50,100.0,0,13,26.0,37,74.0,3,34,68.0,34,3,8.8,31,91.2,16.1,2367,372
1,50,50,100.0,0,50,100.0,0,8,16.0,42,84.0,2,40,80.0,40,4,10.0,36,90.0,33.3,3435,474
2,50,50,100.0,0,50,100.0,0,7,14.0,43,86.0,0,43,86.0,43,0,0.0,43,100.0,30.2,3780,506
3,50,50,100.0,0,50,100.0,0,6,12.0,44,88.0,0,44,88.0,44,0,0.0,44,100.0,68.2,4128,652
4,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,3,6.0,47,94.0,66.0,4569,683
5,52,52,100.0,0,52,100.0,0,2,3.8,50,96.2,2,48,92.3,48,0,0.0,48,100.0,56.2,4761,729
6,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,72.0,4944,775
7,50,50,100.0,0,50,100.0,0,6,12.0,44,88.0,0,44,88.0,44,0,0.0,44,100.0,84.1,5169,823
8,50,50,100.0,0,50,100.0,0,4,8.0,46,92.0,0,46,92.0,46,1,2.2,45,97.8,68.9,4983,837
9,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,0,0.0,49,100.0,69.4,5097,886
